Year,Value
2018,30.5
2018,32.0
2018,31.7
2018,29.8
2018,33.2
2018,30.9
2018,31.4
2018,32.6
2018,30.1
2018,31.8
2019,28.0
2019,35.0
2019,29.5
2019,30.2
2019,34.1
2019,31.7
2019,32.8
2019,33.5
2019,29.9
2019,30.8
2020,40.0
2020,38.5
2020,39.2
2020,37.8
2020,40.7
2020,38.9
2020,39.5
2020,37.6
2020,39.8
2020,38.2
2021,29.5
2021,31.2
2021,30.7
2021,29.9
2021,31.5
2021,30.3
2021,29.8
2021,30.9
2021,31.1
2021,30.0
2022,36.5
2022,37.1
2022,36.8
2022,37.4
2022,36.2
2022,37.0
2022,36.6
2022,37.3
2022,36.9
2022,37.2
